"list_name","name","label","district"
"community","lypovodolynska","Липоводолинська","myrhorodskyi"
"community","andriiashivska","Андріяшівська","myrhorodskyi"
"community","serhiivska","Сергіївська","myrhorodskyi"
"community","hadiatska","Гадяцька","myrhorodskyi"
"community","hoholivska","Гоголівська","myrhorodskyi"
"community","hlobynska","Глобинська","myrhorodskyi"
"community","petrivsko-romenska","Петрівсько-Роменська","myrhorodskyi"
"community","velykobahachanska","Великобагачанська","myrhorodskyi"
"community","romodanivska","Ромоданівська","myrhorodskyi"
"community","bilotserkivska","Білоцерківська","myrhorodskyi"
"community","semenivska","Семенівська","myrhorodskyi"
"community","khorolska","Хорольська","myrhorodskyi"
"community","chornukhynska","Чорнухинська","myrhorodskyi"
"community","velykobudyshchanska","Великобудищанська","myrhorodskyi"
"community","velykosorochynska","Великосорочинська","myrhorodskyi"
"community","zavodska","Заводська","myrhorodskyi"
"community","komyshnianska","Комишнянська","myrhorodskyi"
"community","myrhorodska","Миргородська","myrhorodskyi"
"community","krasnolutska","Краснолуцька","myrhorodskyi"
"community","senchanska","Сенчанська","myrhorodskyi"
"community","shyshatska","Шишацька","myrhorodskyi"
"community","dykanska","Диканська","myrhorodskyi"
"community","zinkivska","Зіньківська","myrhorodskyi"
"community","reshetylivska","Решетилівська","myrhorodskyi"
"community","lozivska","Лозівська","pavlohradskyi"
"community","pereshchepynska","Перещепинська","pavlohradskyi"
"community","dubovykivska","Миколаївська","pavlohradskyi"
"community","brahynivska","Брагинівська","pavlohradskyi"
"community","troitska","Троїцька","pavlohradskyi"
"community","mezhyritska","Межиріцька","pavlohradskyi"
"community","sakhnovshchynska","Сахновщинська","pavlohradskyi"
"community","blyzniukivska","Близнюківська","pavlohradskyi"
"community","ilarionivska","Іларіонівська","pavlohradskyi"
"community","ternivska","Тернівська","pavlohradskyi"
"community","cherkaska","Черкаська","pavlohradskyi"
"community","pishchanska","Піщанська","pavlohradskyi"
"community","hubynyska","Губиниська","pavlohradskyi"
"community","verbkivska","Вербківська","pavlohradskyi"
"community","bohdanivska","Богданівська","pavlohradskyi"
"community","pavlohradska","Павлоградська","pavlohradskyi"
"community","zaitsivska","Зайцівська","pavlohradskyi"
"community","rozdorska","Роздорська","pavlohradskyi"
"community","yur'ivska","Юр'ївська","pavlohradskyi"
"community","boikivska","Бойківська","kalmiuskyi"
"community","novoazovska","Новоазовська","kalmiuskyi"
"community","volnovaska","Волноваська","kalmiuskyi"
"community","vuhledarska","Вугледарська","kalmiuskyi"
"community","myrnenska","Мирненська","kalmiuskyi"
"community","olhynska","Ольгинська","kalmiuskyi"
"community","dokuchaievska","Докучаєвська","kalmiuskyi"
"community","donetska","Донецька","kalmiuskyi"
"community","kalmiuska","Кальміуська","kalmiuskyi"
"community","starobeshivska","Старобешівська","kalmiuskyi"
"community","sartanska","Сартанська","kalmiuskyi"
"community","mar'inska","Мар'їнська","kalmiuskyi"
"community","barvinkivska","Барвінківська","kramatorskyi"
"community","chasovoiarska","Часовоярська","kramatorskyi"
"community","shakhivska","Шахівська","kramatorskyi"
"community","krasnorichenska","Красноріченська","kramatorskyi"
"community","borivska","Борівська","kramatorskyi"
"community","kreminska","Кремінська","kramatorskyi"
"community","ukrainska","Українська","kramatorskyi"
"community","slov'ianska","Слов'янська","kramatorskyi"
"community","novodonetska","Новодонецька","kramatorskyi"
"community","dobropilska","Добропільська","kramatorskyi"
"community","slov'ianska","Слов'янська","kramatorskyi"
"community","bilozerska","Білозерська","kramatorskyi"
"community","siverska","Сіверська","kramatorskyi"
"community","soledarska","Соледарська","kramatorskyi"
"community","kryvorizka","Криворізька","kramatorskyi"
"community","cherkaska","Черкаська","kramatorskyi"
"community","andriivska","Андріївська","kramatorskyi"
"community","druzhkivska","Дружківська","kramatorskyi"
"community","kramatorska","Краматорська","kramatorskyi"
"community","illinivska","Іллінівська","kramatorskyi"
"community","mykolaivska","Миколаївська","kramatorskyi"
"community","oleksandrivska","Олександрівська","kramatorskyi"
"community","sviatohirska","Святогірська","kramatorskyi"
"community","hrodivska","Гродівська","kramatorskyi"
"community","oskilska","Оскільська","kramatorskyi"
"community","lymanska","Лиманська","kramatorskyi"
"community","dzhurynska","Джуринська","zhmerynskyi"
"community","murafska","Мурафська","zhmerynskyi"
"community","hnivanska","Гніванська","zhmerynskyi"
"community","tyvrivska","Тиврівська","zhmerynskyi"
"community","yakushynetska","Якушинецька","zhmerynskyi"
"community","severynivska","Северинівська","zhmerynskyi"
"community","kopaihorodska","Копайгородська","zhmerynskyi"
"community","stanislavchytska","Станіславчицька","zhmerynskyi"
"community","sharhorodska","Шаргородська","zhmerynskyi"
"community","vendychanska","Вендичанська","zhmerynskyi"
"community","chernivetska","Чернівецька","zhmerynskyi"
"community","murovanokurylovetska","Мурованокуриловецька","zhmerynskyi"
"community","tomashpilska","Томашпільська","zhmerynskyi"
"community","shpykivska","Шпиківська","zhmerynskyi"
"community","yampilska","Ямпільська","mohyliv-podilskyi"
"community","sokyrianska","Сокирянська","mohyliv-podilskyi"
"community","babchynetska","Бабчинецька","mohyliv-podilskyi"
"community","yaryshivska","Яришівська","mohyliv-podilskyi"
"community","mohyliv-podilska","Могилів-Подільська","mohyliv-podilskyi"
"community","horodkivska","Городківська","mohyliv-podilskyi"
"community","studenianska","Студенянська","mohyliv-podilskyi"
"community","vapniarska","Вапнярська","tulchynskyi"
"community","ladyzhynska","Ладижинська","tulchynskyi"
"community","kunkivska","Кунківська","tulchynskyi"
"community","raihorodska","Райгородська","tulchynskyi"
"community","nemyrivska","Немирівська","tulchynskyi"
"community","haisynska","Гайсинська","tulchynskyi"
"community","obodivska","Ободівська","tulchynskyi"
"community","trostianetska","Тростянецька","tulchynskyi"
"community","chechelnytska","Чечельницька","tulchynskyi"
"community","kryzhopilska","Крижопільська","tulchynskyi"
"community","bratslavska","Брацлавська","tulchynskyi"
"community","pishchanska","Піщанська","tulchynskyi"
"community","tulchynska","Тульчинська","tulchynskyi"
"community","kodymska","Кодимська","tulchynskyi"
"community","stryzhavska","Стрижавська","khmilnytskyi"
"community","pohrebyshchenska","Погребищенська","khmilnytskyi"
"community","turbivska","Турбівська","khmilnytskyi"
"community","koziatynska","Козятинська","khmilnytskyi"
"community","hlukhovetska","Глуховецька","khmilnytskyi"
"community","ivanivska","Іванівська","khmilnytskyi"
"community","makhnivska","Махнівська","khmilnytskyi"
"community","kalynivska","Калинівська","khmilnytskyi"
"community","samhorodotska","Самгородоцька","khmilnytskyi"
"community","ulanivska","Уланівська","khmilnytskyi"
"community","vchoraishenska","Вчорайшенська","khmilnytskyi"
"community","raihorodotska","Райгородоцька","khmilnytskyi"
"community","andrushivska","Андрушівська","khmilnytskyi"
"community","krasnopilska","Краснопільська","khmilnytskyi"
"community","ruzhynska","Ружинська","khmilnytskyi"
"community","semenivska","Семенівська","khmilnytskyi"
"community","vyshnivska","Вишнівська","volodymyr-volynskyi"
"community","ustyluzka","Устилузька","volodymyr-volynskyi"
"community","volodymyr-volynska","Володимир-Волинська","volodymyr-volynskyi"
"community","zaturtsivska","Затурцівська","volodymyr-volynskyi"
"community","ivanychivska","Іваничівська","volodymyr-volynskyi"
"community","zymnivska","Зимнівська","volodymyr-volynskyi"
"community","novovolynska","Нововолинська","volodymyr-volynskyi"
"community","lytovezka","Литовезька","volodymyr-volynskyi"
"community","lokachynska","Локачинська","volodymyr-volynskyi"
"community","ovadnivska","Оваднівська","volodymyr-volynskyi"
"community","pavlivska","Павлівська","volodymyr-volynskyi"
"community","poromivska","Поромівська","volodymyr-volynskyi"
"community","dorosynivska","Доросинівська","volodymyr-volynskyi"
"community","turiiska","Турійська","volodymyr-volynskyi"
"community","horokhivska","Горохівська","volodymyr-volynskyi"
"community","torchynska","Торчинська","volodymyr-volynskyi"
"community","sokalska","Сокальська","volodymyr-volynskyi"
"community","rivnenska","Рівненська","kovelskyi"
"community","dubivska","Дубівська","kovelskyi"
"community","kamin-kashyrska","Камінь-Каширська","kovelskyi"
"community","manevytska","Маневицька","kovelskyi"
"community","liublynetska","Люблинецька","kovelskyi"
"community","velymchenska","Велимченська","kovelskyi"
"community","dubechnenska","Дубечненська","kovelskyi"
"community","soshychnenska","Сошичненська","kovelskyi"
"community","velytska","Велицька","kovelskyi"
"community","holobska","Голобська","kovelskyi"
"community","zabolottivska","Заболоттівська","kovelskyi"
"community","holovnenska","Головненська","kovelskyi"
"community","kovelska","Ковельська","kovelskyi"
"community","zabrodivska","Забродівська","kovelskyi"
"community","kolodiazhnenska","Колодяжненська","kovelskyi"
"community","lukivska","Луківська","kovelskyi"
"community","liubomlska","Любомльська","kovelskyi"
"community","povorska","Поворська","kovelskyi"
"community","samarivska","Самарівська","kovelskyi"
"community","ratnivska","Ратнівська","kovelskyi"
"community","serekhovychivska","Сереховичівська","kovelskyi"
"community","smidynska","Смідинська","kovelskyi"
"community","starovyzhivska","Старовижівська","kovelskyi"
"community","shatska","Шацька","kovelskyi"
"community","rozhyshchenska","Рожищенська","kovelskyi"
"community","kolkivska","Колківська","kovelskyi"
"community","lysychanska","Лисичанська","bakhmutskyi"
"community","zvanivska","Званівська","bakhmutskyi"
"community","chudnivska","Чуднівська","berdychivskyi"
"community","shvaikivska","Швайківська","berdychivskyi"
"community","skvyrska","Сквирська","berdychivskyi"
"community","kharytonivska","Харитонівська","berdychivskyi"
"community","berdychivska","Бердичівська","berdychivskyi"
"community","hryshkovetska","Гришковецька","berdychivskyi"
"community","chervonenska","Червоненська","berdychivskyi"
"community","andrushkivska","Андрушківська","berdychivskyi"
"community","korostyshivska","Коростишівська","berdychivskyi"
"community","vilshanska","Вільшанська","berdychivskyi"
"community","novohuivynska","Новогуйвинська","berdychivskyi"
"community","popilnianska","Попільнянська","berdychivskyi"
"community","stanyshivska","Станишівська","berdychivskyi"
"community","malynska","Малинська","zhytomyrskyi"
"community","novoborivska","Новоборівська","zhytomyrskyi"
"community","bronykivska","Брониківська","zhytomyrskyi"
"community","horodotska","Городоцька","zhytomyrskyi"
"community","hlybochytska","Глибочицька","zhytomyrskyi"
"community","kurnenska","Курненська","zhytomyrskyi"
"community","pulynska","Пулинська","zhytomyrskyi"
"community","kvitneva","Квітнева","zhytomyrskyi"
"community","makarivska","Макарівська","zhytomyrskyi"
"community","piskivska","Пісківська","zhytomyrskyi"
"community","vysokivska","Високівська","zhytomyrskyi"
"community","byshivska","Бишівська","zhytomyrskyi"
"community","kozhanska","Кожанська","zhytomyrskyi"
"community","tomashivska","Томашівська","zhytomyrskyi"
"community","berezivska","Березівська","zhytomyrskyi"
"community","brusylivska","Брусилівська","zhytomyrskyi"
"community","vyshevytska","Вишевицька","zhytomyrskyi"
"community","zhytomyrska","Житомирська","zhytomyrskyi"
"community","cherniakhivska","Черняхівська","zhytomyrskyi"
"community","oliivska","Оліївська","zhytomyrskyi"
"community","khoroshivska","Хорошівська","zhytomyrskyi"
"community","irshanska","Іршанська","zhytomyrskyi"
"community","barashivska","Барашівська","zhytomyrskyi"
"community","kornynska","Корнинська","zhytomyrskyi"
"community","myropilska","Миропільська","zhytomyrskyi"
"community","potiivska","Потіївська","zhytomyrskyi"
"community","radomyshlska","Радомишльська","zhytomyrskyi"
"community","starosiletska","Старосілецька","zhytomyrskyi"
"community","romanivska","Романівська","zhytomyrskyi"
"community","teterivska","Тетерівська","zhytomyrskyi"
"community","ushomyrska","Ушомирська","zhytomyrskyi"
"community","baranivska","Баранівська","zhytomyrskyi"
"community","dovbyska","Довбиська","zhytomyrskyi"
"community","sorokynska","Сорокинська","dovzhanskyi"
"community","stanychno-luhanska","Станично-Луганська","dovzhanskyi"
"community","luhanska","Луганська","dovzhanskyi"
"community","molodohvardiiska","Молодогвардійська","dovzhanskyi"
"community","yurkovetska","Юрковецька","chortkivskyi"
"community","dubovetska","Дубовецька","chortkivskyi"
"community","kadubovetska","Кадубовецька","chortkivskyi"
"community","kolyndianska","Колиндянська","chortkivskyi"
"community","ivanivska","Іванівська","chortkivskyi"
"community","zolotnykivska","Золотниківська","chortkivskyi"
"community","mykulynetska","Микулинецька","chortkivskyi"
"community","pidhaietska","Підгаєцька","chortkivskyi"
"community","ivane-pustenska","Іване-Пустенська","chortkivskyi"
"community","terebovlianska","Теребовлянська","chortkivskyi"
"community","vasylkovetska","Васильковецька","chortkivskyi"
"community","zolotopotitska","Золотопотіцька","chortkivskyi"
"community","bilobozhnytska","Білобожницька","chortkivskyi"
"community","borshchivska","Борщівська","chortkivskyi"
"community","kopychynetska","Копичинецька","chortkivskyi"
"community","buchatska","Бучацька","chortkivskyi"
"community","koropetska","Коропецька","chortkivskyi"
"community","zalishchytska","Заліщицька","chortkivskyi"
"community","zavodska","Заводська","chortkivskyi"
"community","kostryzhivska","Кострижівська","chortkivskyi"
"community","melnytse-podilska","Мельнице-Подільська","chortkivskyi"
"community","monastyryska","Монастириська","chortkivskyi"
"community","nahirianska","Нагірянська","chortkivskyi"
"community","tovstenska","Товстенська","chortkivskyi"
"community","skala-podilska","Скала-Подільська","chortkivskyi"
"community","khorostkivska","Хоростківська","chortkivskyi"
"community","chortkivska","Чортківська","chortkivskyi"
